"%s more needed to get the deal","%s αγορές ακόμα για να ενεργοποιηθεί το Deal"
"--Please Select--","- Επιλέξτε -"
"Please enter the details of the request we'll respond as quickly as possible.","Παρακαλώ εισάγετε τα στοιχεία του σχολίου σας, θα σας απαντήσουμε το συντομότερο δυνατόν."
"Please enter your email.","Παρακαλώ εισάγετε το email σας."
"please enter your full name","παρακαλώ εισάγετε όλο το ονοματεπωνυμό σας"
"Please make sure your passwords match.","Παρακαλώ βεβαιωθείτε ότι κωδικούς σας ταιριάζουν."
"Please, check your email for confirmation key.","Παρακαλούμε, ελέγξτε το email σας για το κλειδί επιβεβαίωσης."
"Postal Address","Ταχυδρομική διεύθυνση"
"Previous Page","Προηγούμενη Σελίδα"
"Print Certificate","Εκτύπωση Πιστοποιητικού"
"Print Coupon","Εκτύπωση κουπόνι"
"Print Your Certificates","Εκτύπωση Πιστοποιητικά σας"
"Proceed to checkout","Επόμενο βήμα"
"RECENT DEALS","Προηγούμενες Προσφορές"
"RECENT DEALS","ΠΡΟΣΦΑΤΕΣ DEALS"
"Refer a Friend","Αναφέρω ένα Φίλο"
"Refer a Friend: Get ","Αναφέρω ένα Φίλο: Πάρτε "
"Referral for Default Store View","Παραπομπή για την Προβολή Κατάστημα Προεπιλογή"
"Referred Friends","Αναφέρεται Φίλοι"
"Remove","Διαγραφή"
"Report All Bugs","Αναφέρεται Όλα Τα Bugs"
"Required Fields","Υποχρεωτικά Πεδία"
"Save","Αποθήκευση"
"Saved money until now","Εξοικονόμησε χρήματα μέχρι τώρα"
"Savings","Κέρδος"
"SECONDS","δεύτερα"
"Select Store","Επιλογή Καταστήματος"
"Select the city","Επιλέξτε την πόλη σας"
"Select your City","Επιλέξτε την πόλη σας"
"Selected Region","Επιλεγμένη Περιοχή"
"Sending...","Αποστολή ... "
"Share the link with your friends:","Μοιραστείτε τη σύνδεση με τους φίλους σας:"
"Show","Προβολή"
"Sign In","Είσοδος"
"Sign Out","Έξοδος"
"Sign-in to edit your subscription.","Εγγραφείτε για να επεξεργαστείτε τη συνδρομή σας."
"Skip to Main Content","Συνέχεια στο Κυρίως Περιεχόμενο"
"So we can get back to you","Για να μπορέσουμε να σας απαντήσουμε"
"Sold","αγοράστηκαν"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Συγνώμη, αλλά διαχειριστής αρνήθηκε τη συνδρομή για τους επισκέπτες. Παρακαλώ <a href=""%s"">μητρώο</a>."
"Sorry, but you cannot subscribe for the email address assigned to another user.","Λυπούμαστε, αλλά δεν μπορείτε να εγγραφείτε για τη διεύθυνση ηλεκτρονικού ταχυδρομείου εκχωρηθεί σε άλλο χρήστη."
"Spread it!","Μοιράσου το!"
"Submit","Αποστολή"
"Subscribe","Εγγραφή"
"Terms of use","Όροι χρήσης"
"Thank you for registering with %s.","Σας ευχαριστούμε για την εγγραφή %s."
"Thank you for your subscription.","Σας ευχαριστούμε για την εγγραφή σας."
"The account information has been saved.","Τα στοιχεία του λογαριασμού έχει αποθηκευτεί."
"The Company","Που θα τους βρείτε"
"The Fine Print","Όροι προσφοράς"
"The password fields cannot be empty.","Τα πεδία κωδικός πρόσβασης δεν μπορεί να είναι κενό."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Υπάρχει ήδη ένα λογαριασμό με αυτή τη διεύθυνση ηλεκτρονικού ταχυδρομείου. <a href=""%s"">κάντε κλικ εδώ</a> Εάν είστε βέβαιοι ότι πρόκειται για τη διεύθυνση email σας, για να πάρετε τον κωδικό πρόσβασής σας και να έχετε πρόσβαση στο λογαριασμό σας <a href=""%s"">κάντε κλικ εδώ</a>."
"There was a problem with the subscription: %s","Υπήρξε ένα πρόβλημα με την εγγραφή: %s"
"There was a problem with the subscription.","Υπήρξε ένα πρόβλημα με την εγγραφή."
"There was a problem with the un-subscription.","Υπήρξε ένα πρόβλημα με τον ΟΗΕ-συνδρομή."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Αυτός ο λογαριασμός δεν έχει επιβεβαιωθεί. <a href=""%s"">κάντε κλικ εδώ</a> να ξαναστείλετε email επιβεβαίωσης."
"This email address was not found in our records.","Αυτή η διεύθυνση ηλεκτρονικού ταχυδρομείου δεν βρέθηκε στα αρχεία μας."
"This email does not require confirmation.","Αυτό το ηλεκτρονικό μήνυμα δεν απαιτεί επιβεβαίωση."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Αυτό είναι ένα demo κατάστημα. Οποιαδήποτε παραγγελία μέσα σε αυτό το κατάστημα δεν θα εκτελείται ή δεν θα παραδίδεται"
"Time Left To ","Η προσφορά λήγει"
"Tips","Συμβουλές"
"Title Prefix","Πρόθεμα Τίτλου"
"Title Suffix","Κατάληξη Τίτλου"
"TODAY'S DEAL","DEAL ΣΗΜΕΡΙΝΗ"
"Today's Deal:","Σημερινή προσφορά : "
"Today's Side Deal","Deal πλευρά του σήμερα:"
"Todays Main Deal","Deal Main σημερινή"
"Todays Side Deal","Deal Side σημερινή"
"Update","Αλλαγή"
"Value","Αξία"
"Visit More Cities","Επίσκεψη Περισσότερες Πόλεις"
"Welcome Text","Κείμενο Υποδοχής"
"Welcome,","Καλώς Ήρθατε,"
"Welcome, %s!","Καλώς Ήρθατε, %s!"
"Wrong confirmation key.","Λάθος κλειδί επιβεβαίωσης."
"Wrong customer account specified.","Λάθος πελάτη λογαριασμό που καθορίζεται."
"You are been already subscribed to","Είστε ήδη εγγραφεί στο"
"You are currently not subscribed to any newsletter.","Αυτήν τη στιγμή δεν εγγραφεί σε κανένα ενημερωτικό δελτίο."
"You are currently subscribed to","Αυτήν τη στιγμή εγγραφεί σε"
"You are currently subscribed to newsletter for the city","Είστε σήμερα εγγραφεί στο ενημερωτικό δελτίο για την πόλη"
"You are currently subscribed to our newsletter.","You are currently subscribed to our newsletter."
"You have been unsubscribed.","Σας έχουν διαγραφεί."
"You have no referred friends.","Εσείς αναφερθήκατε δεν έχει φίλους."
"You Save","Κέρδος"
"You will be redirected to the PayPal website.","Θα μεταφερθείτε στην ιστοσελίδα PayPal."
"You're currently on:","Βρίσκεστε στο:"
"Your Language","Η Γλώσσα σας"
"Your Name","Το όνομα σας:"
"Your subscription has been confirmed.","Η συνδρομή σας έχει επιβεβαιωθεί."
"Z.C. 7737, Cyprus","Τ.Κ. 7737, Κύπρος"
"The reCAPTCHA wasn't entered correctly. Try it again.","Η reCAPTCHA δεν είχε εγγραφεί ορθά. Δοκιμάστε το και πάλι."
"Cannot add the item to shopping cart.","Δεν μπορείτε να προσθέσετε το είδος στο καλάθι αγορών."
"Cannot update shopping cart.","Δεν είναι δυνατή η ενημέρωση καλάθι αγορών."
"Cannot remove the item.","Δεν μπορείτε να καταργήσετε το στοιχείο."
"Please Login to make use of Gift Option.","Please Login to make use of Gift Option."
"Gift was Deleted successfully.","Δώρο διαγράφηκε επιτυχώς."
"You qualify for a discount! The discount of <b>%s</b> will be applied to your next purchase","Είστε κατάλληλος για μια έκπτωση! Η έκπτωση της <b>% s </ b> θα εφαρμοστεί σε επόμενη αγορά σας"
"Message to a friend was sent.","Μήνυμα σε ένα φίλο απεστάλη."
"Some problems with data.","Κάποια προβλήματα με τα δεδομένα."
"Some emails were not sent.","Μερικά emails που δεν στάλθηκαν."
"The address has been saved.","Η διεύθυνση έχει αποθηκευτεί."
"Cannot save the address.","Δεν είναι δυνατή η αποθήκευση της διεύθυνσης."
"The address does not belong to this customer.","Η διεύθυνση δεν ανήκει σε αυτόν τον πελάτη."
"The address has been deleted.","Η διεύθυνση έχει διαγραφεί."
"An error occurred while deleting the address.","Παρουσιάστηκε σφάλμα κατά τη διαγραφή του διεύθυνση."
"Post a Comment","Post ένα σχόλιο"
"Please enter a valid city.","Παρακαλώ εισάγετε μια έγκυρη πόλη."
"You are been subscribed to","Είστε γίνουν εγγραφές"
"Please check your email for confirmation.","Παρακαλώ ελέγξτε το email σας για επιβεβαίωση."
"ACTIVE DEALS","ενεργός DEALS"
"UPCOMING DEALS","ΠΡΟΣΕΧΕΙΣ DEALS"
"Follow Us:","Ακολουθήστε μας:"
"Total Dollars saved","Σύνολο Δολάρια αποθηκευτεί"
"Deals","Προσφορές"
"About Us","Σχετικά με εμάς"
"Please enter a valid email address. For example johndoe@domain.com. ","Παρακαλούμε εισάγετε μια έγκυρη διεύθυνση email. Για παράδειγμα johndoe@domain.com."
"more >>","περισσότερα>>"
"hide <<","Απόκρυψη <<"
"Video","Βίντεο"
"Image","Εικόνα"
"Total Coupons bought","Σύνολο Κουπόνια αγόρασε"
"Follow Us","Ακολουθήστε μας"
"Groupclone","GroupΚλώνος"
"Best Groupon Script","Καλύτερου Σεναρίου Groupon"
