"A new password was sent to your email address. Please check your email and click Back to Login.","Un nouveau mot de passe a été envoyé à votre adresse email. Veuillez vérifier votre courrier électronique et cliquez sur Retour pour vous connecter."
"Abandoned Carts","Paniers abandonnés"
"About the calendar","À propos du calendrier"
"Access Denied.","Accès refusé"
"Access Deny","Refus d'accès"
"Access denied","Accès refusé"
"Access denied.","Accès refusé."
"Account Created in:","Compte créé dans :"
"Account Created on (%s):","Compte créé le (%s) :"
"Account Created on:","Compte créé le :"
"Account Information","Informations du compte"
"Account status","Statut du compte"
"Account successfully saved","Compte sauvegardé"
"Action","Action"
"Actions","Actions"
"Actions XML","XML d'actions"
"Active","Actif"
"Add","Ajouter"
"Add Author","Ajouter un auteur"
"Add Contents Path","Ajouter un chemin de contenus"
"Add Exception","Ajouter une exception"
"Add Field Mapping","Ajouter un mapping de champs"
"Add Field with URL:","Ajouter un champ avec l'URL :"
"Add New Image","Nouvelle image"
"Add New Profile","Nouveau profil"
"Add New Role","Nouveau rôle"
"Add New Template","Ajouter un nouveau gabarit"
"Add New URL Rewrite","Nouvelle Ré-écriture d'URL"
"Add New User","Nouvel utilisateur"
"Add New Variable","Nouvelle Variable"
"Add New osCommerce Profile","Ajoutez un nouveau profil osCommerce"
"Add PHP Extension dependency","Ajouter une dépendance d'extension PHP"
"Add Package dependency","Ajouter une dépendance de package"
"Add URL Rewrite","Ajouter une Ré-écriture d'URL"
"Add URL Rewrite for a Category","Ajoutez une Ré-écriture d'URL pour une catégorie"
"Add URL Rewrite for a Product","Ajoutez une Ré-écriture d'URL pour un produit"
"Add after","Ajoutez après"
"Add new Role","Nouveau rôle"
"Additional Cache Management","Gestion étendue du cache"
"Address Type:","Type d'adresse :"
"Admin","Admin"
"Advanced Admin Section","Section Admin avancée"
"Advanced Profiles","Profils avancés"
"Advanced Section","Section avancée"
"All","Tout"
"All Allowed Countries","Tous les pays autorisés"
"All Cache","Tout le cache"
"All Files","Tous les fichiers"
"All Reviews","Tous les commentaires"
"All Store Views","Toutes les vues magasin"
"All Tags","Tous les tags"
"All Websites","Tous les sites web"
"All countries","Tous les pays"
"All fields","Tous les champs"
"All possible rates were fetched, click on ""Save"" to apply","Tous les taux possibles ont été récupérés, cliquez sur ""Sauvegarder"" pour appliquer les modifications"
"All rates were fetched, click on ""Save"" to apply","Tous les taux sont récupérés, cliquez sur ""Sauvegarder"" pour appliquer les changements"
"All valid rates successfully saved","Tous les taux valides ont été sauvegardés"
"Amounts","Montants"
"Any","Tous"
"Any Attribute Set","Tous les jeux d'attributs"
"Any Group","Tous les groupes"
"Any Status","Tous les statuts"
"Any Store","Tous les magasins"
"Any Type","Tous les types"
"Any Visibility","Toutes les visibilités"
"Api Key","Clé API"
"Api Key Confirmation","Confirmation clé API"
"Archive file name:","Nom du fichier d'archive :"
"Are you sure that you want to delete this template?","Êtes-vous certain de vouloir supprimer ce gabarit ?"
"Are you sure that you want to strip tags?","Êtes-vous sûr de vouloir supprimer les tags ?"
"Are you sure you want to do this?","Êtes-vous sûr de vouloir faire cela ?"
"Area","Zone"
"Assigned","Affecté"
"Associated Tags","Tags associés"
"Attribute Set Name:","Nom du jeu d'attributs"
"Attribute set was successfully removed.","Groupe d'attributs supprimé"
"Attributes","Attributs"
"Authors","Auteurs"
"Available Products","Produits disponibles"
"Average Order Amount","Montant moyen de commande"
"Average Orders","Moyenne des commandes"
"Back","Retour"
"Back to Login","Retour à l'identification"
"Backup","Sauvegarde"
"Backup record was deleted","La sauvegarde a bien été effacée"
"Backup successfully created","La sauvegarde a bien été créée"
"Backups","Sauvegardes"
"Base currency","Devise de base"
"Bcc","Bcc"
"Bestsellers","Meilleures ventes"
"Big Image","Grande image"
"Billing Address","Adresse de facturation"
"Billing address","Adresse de facturation"
"Block Information","Informations du bloc"
"Both (without and with tax)","Les deux (avec et sans taxes)"
"Both IPN and PDT","IPN et PDT"
"Browse Files...","Parcourir les fichiers..."
"Bundle Items","Articles packagés"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Un bundle avec un prix dynamique ne peut pas inclure d'options définies. Les options ne seront pas sauvegardées."
"CMS","CMS"
"CRITICAL","critique"
"CSV","CSV"
"CSV / Tab separated","CSV / séparé par des tabulations"
"Cache Control","Contrôle du cache"
"Cache Control (beta)","Contrôle du cache (beta)"
"Cache Management","Gestion du cache"
"Cache Type","Type de Cache"
"Cache storage was flushed successfully.","Le stockage du cache a bien été purgé"
"Can not add new comment.","Impossible d'ajouter un nouveau commentaire."
"Can not add tracking number.","Impossible d'ajouter le numéro de suivi."
"Can not delete tracking number.","Impossible de supprimer le numéro de suivi."
"Can not do credit memo for order","Impossible de faire un avoir pour la commande"
"Can not do shipment for order separate from invoice.","Il n'est pas possible d'envoyer une commande séparée de la facture."
"Can not do shipment for order.","Impossible de créer la livraison pour la commande."
"Can not initialize shipment for adding tracking number.","Impossible d'initialiser l'expédition pour ajouter le numéro de suivi."
"Can not initialize shipment for delete tracking number.","Impossible d'initialiser l'expédition pour supprimer le numéro de suivi."
"Can not load track with retrieving identifier.","Impossible de charger la série avec récupération des identifiants."
"Can not retrieve tracking number detail.","Impossible de récupérer le numéro de suivi détaillé."
"Can not save shipment.","Impossible d'enregistrer l'expédition."
"Can not send shipment information.","Impossible d'envoyer les informations d'expédition."
"Can not update item qty","Mise à jour impossible Qté Article"
"Can't delete design change","Impossible d'effacer le changement d'habillage"
"Can\'t find email address.","Impossible de trouver l\'email."
"Cancel","Annuler"
"Cannot save Credit Memo.","Impossible d'enregistrer l'avoir"
"Card Verification Number","Numéro de vérification"
"Carrier/Method","Transporteur/Mode"
"Catalog","Catalogue"
"Catalog Index rebuild error. Please try again later","Erreur de reconstruction de l'index du catalogue. Veuillez réessayer plus tard."
"Catalog Index was rebuilt successfully","L'index du catalogue a bien été reconstruit"
"Catalog Price Rules","Règles de prix catalogue"
"Catalog Rewrites","Réécriture du catalogue"
"Catalog Rewrites was refreshed successfully","La réécriture du catalogue a bien été actualisée"
"Catalog Rewrites were refreshed successfully","Les réécritures du catalogue ont bien été actualisées"
"CatalogInventory Stock Status rebuild error. Please try again later","Erreur de reconstruction du statut de l'inventaire des stocks. Veuillez réessayer plus tard."
"CatalogInventory Stock Status was rebuilt successfully","Le statut de l'inventaire des stocks a bien été reconstruit"
"Categories","Catégories"
"Category:","Catégorie :"
"Channel","Canal"
"Checkbox","Case à cocher"
"Choose Store View","Choisir une vue magasin"
"Choose an attribute","Choisir un attribut"
"Clear","Vider"
"Close","Fermer"
"Comment text field can not be empty.","Le champ texte de commentaire ne peut pas être vide."
"Comments History","Historique de commentaires"
"Complete","Terminée"
"Configuration","Configuration"
"Configuration successfully saved","La configuration a bien été sauvegardée"
"Confirmed email:","Email confirmé :"
"Connect with the Magento Community","Rejoignez la communauté de Magento"
"Contents","Contenu"
"Convert to Plain Text","Convertir en texte simple"
"Cookie (Unsafe)","Cookie (risqué)"
"Country","Pays"
"Country:","Pays :"
"Coupons","Bons de réduction"
"Create","Créer"
"Create DB Backup","Créez une sauvegarde de la BD"
"Create New Attribute","Créer un nouvel attribut"
"Create URL Rewrite:","Créer une  Ré-écriture d'URL :"
"Created At","Créé le"
"Created At Invoice","Facture créées pendant la période"
"Created At Order","Commandes créées pendant la période"
"Created At Refunded","Remboursements créés pendant la période"
"Created At Shipment","Expéditions créées pendant la période"
"Credit Card Number","Numéro de carte de crédit"
"Credit Card Number: xxxx-%s","<strong>Numéro de carte de paiement :</strong> <span class=""nowrap"">xxxx-%s</span>"
"Credit Card Type","Type de carte de crédit"
"Credit Card Type: %s","<strong>Type de carte de paiement :</strong> <span class=""nowrap"">%s</span>"
"Credit Memo #%s comment added","Commentaire ajouté à l'avoir n°%s"
"Credit Memo #%s created","Avoir n°%s créé"
"Credit Memo History","Historique de l'avoir"
"Credit Memo Totals","Totaux de l'avoir"
"Credit Memo cancel error.","Erreur d'annulation de l'avoir"
"Credit Memo total must be positive.","Le montant total remboursé doit être positif."
"Credit Memo void error","Erreur d'effacement de l'avoir"
"Credit Memo was successfully canceled.","L'avoir a bien été annulé"
"Credit Memo was successfully created","L'avoir a bien été créé"
"Credit Memo was successfully voided","L'avoir a bien été effacé"
"Credit Memos","Avoirs"
"Currency","Devise"
"Currency Information","Information devise"
"Currency Setup Section","Section d'installation de devise"
"Current Configuration Scope:","Portée de la configuration courante :"
"Current Month","Mois en cours"
"Custom","Personnaliser"
"Custom Variable ""%s""","Variable personnalisée ""%s"""
"Custom Variable has been successfully deleted.","La variable personnalisée a bien été supprimée"
"Custom Variable has been successfully saved.","La variable personnalisée a bien été sauvegardée"
"Custom Variables","Variables personnalisées"
"Customer","Client"
"Customer Group:","Groupe de clients :"
"Customer Groups","Groupes clients"
"Customer Name","Nom du client"
"Customer Reviews","Commentaires des clients"
"Customer Shopping Carts","Paniers du client"
"Customer Since:","Client depuis le :"
"Customer Tax Classes","Classes de TVA client"
"Customer was deleted","Le client a été supprimé"
"Customer was successfully saved","Le client a bien été sauvegardé"
"Customer with the same email already exists.","Un client avec la même adresse email existe déjà."
"Customers","Clients"
"Customers By Orders Total","Clients par montant de commande"
"Customers by Number of Orders","Clients par nombre de commandes"
"DHTML Date/Time Selector","Sélecteur de date/heure DHTML"
"Dashboard","Tableau de bord"
"Data Format","Format de données"
"Data transfer:","Transfert de données"
"Date","Date"
"Date & Time","Date & Heure"
"Date Added","Date d'ajout"
"Date Updated","Date de mise à jour"
"Date selection:","Sélection de date :"
"Date selector","Sélecteur de date"
"Day","Jour"
"Decimal separator:","Séparateur de décimales :"
"Default (Admin) Values","Valeurs par défaut (admin)"
"Default Billing Address","Adresse de facturation par défaut"
"Default Config","Configuration par défaut"
"Default Template from Locale","Gabarit par défaut pour la langue"
"Default Values","Valeurs par défaut"
"Default display currency ""%s"" is not available in allowed currencies","L'affichage par défaut de la monnaie ""%s"" n'est pas disponible dans les monnaies autorisées"
"Default scope","Portée par défaut"
"Delete","Supprimer"
"Delete %s","Supprimer %s"
"Delete %s '%s'","Supprimer %s '%s'"
"Delete Profile","Effacer le profil"
"Delete Role","Supprimer le rôle"
"Delete Store View","Effacer la vue magasin"
"Delete Template","Supprimer le gabarit"
"Delete User","Supprimer l'utilisateur"
"Delete Website","Supprimer le site web"
"Description","Description"
"Design","Habillage"
"Design Section","Section Habillage"
"Design change deleted","Changement d'habillage effacé"
"Design change saved","Changement d'habillage sauvegardé"
"Details","Détails"
"Developer Section","Section développeur"
"Direction:","Direction :"
"Disable","Désactiver"
"Disabled","Désactivé"
"Display %s first","Afficher d'abord %s"
"Display default currency","Afficher la devise par défaut"
"Distributed under GNU LGPL. See %s for details.","Distribué sous licence GNU LGPL. Voir %s pour plus de détails."
"Do you really want to KILL parallel process and start new indexing process?","Voulez-vous vraiment supprimer le processus parallèles et lancer un nouveaux processus d'indexation ?"
"Downloads","Téléchargements"
"Drag to move","Glisser pour déplacer"
"Drop-down","Liste déroulante"
"Edit","Éditer"
"Edit Design Change","Éditer le changement d'habillage"
"Edit Email Template","Éditer le gabarit de l'email"
"Edit Poll","Éditer le sondage"
"Edit Queue","Éditer file"
"Edit Review","Éditer le commentaire '%s'"
"Edit Role","Modifier le rôle"
"Edit Store View","Éditer la vue magasin"
"Edit System Template","Éditer le gabarit système"
"Edit Template","Éditer le gabarit"
"Edit URL Rewrite","Éditer Ré-écriture d'URL"
"Edit User","Modifier l'utilisateur"
"Edit User '%s'","Éditer l'utilisateur '%s'"
"Edit Website","Modifier le site web"
"Email","Email"
"Email Address:","Adresse email :"
"Email Preview","Prévisualisation de l'email"
"Email Template was successfully deleted.","Le gabarit de mail a bien été supprimé"
"Email Template was successfully saved.","Le gabarit de mail a bien été sauvegardé"
"Email address is empty.","L'adresse email est vide."
"Email to a Friend","Envoyer à un ami"
"Email:","Email :"
"Enable","Activer"
"Enabled","Activé"
"Enclose Values In:","Entourer les valeurs avec :"
"Entity Type","Type d'entité"
"Entity type:","Type d'entité :"
"Error while cleared Image cache. Please try again later","Erreur lors de la purge du cache image. Veuillez réessayer plus tard."
"Error while cleared Image cache. Please try again later.","Erreur lors de la purge du cache image. Veuillez réessayer plus tard."
"Error while cleared JavaScript/CSS cache. Please try again later.","Erreur lors de la purge du cache JavaScript/CSS. Veuillez réessayer plus tard."
"Error while create backup. Please try again later","Erreur lors de la création de la sauvegarde. Veuillez réessayer plus tard."
"Error while deleting email template data. Please review log and try again.","Erreur lors de la suppression des données de gabarit d'email. Veuillez vérifier les logs et réessayer plus tard."
"Error while deleting this role. Please try again later.","Erreur pendant la suppression de ce rôle. Veuillez réessayer plus tard."
"Error while deleting this set.","Erreur pendant la suppression de ce groupe"
"Error while deleting this template. Please try again later.","Erreur lors de la suppression de ce gabarit. Veuillez réessayer plus tard."
"Error while finished process. Please refresh cache","Erreur lors de la fin du processus. Veuillez rafraichir le cache."
"Error while refreshed Catalog Rewrites. Please try again later","Erreur lors de l'actualisation de la réécriture du catalogue. Veuillez réessayer plus tard."
"Error while refreshed Layered Navigation Indices. Please try again later","Erreur lors de l'actualisation des index de niveau de navigation. Veuillez réessayer plus tard."
"Error while saving account. Please try again later","Erreur lors de la sauvegarde du compte. Veuillez réessayer plus tard."
"Error while saving this configuration: ","Erreur lors de la sauvegarde de la configuration : "
"Error while saving this role. Please try again later.","Erreur pendant la sauvegarde de ce rôle. Veuillez réessayer plus tard."
"Error while saving this template. Please try again later.","Erreur lors de la sauvegarde de ce gabarit. Veuillez réessayer plus tard."
"Error while updating selected review(s). Please try again later.","Erreur lors de la mise à jour des commentaires sélectionnés. Veuillez réessayer plus tard."
"Excel","Excel"
"Excl. Tax","HT"
"Expiration Date","Date d'expiration"
"Expiration Date: %s/%s","Date d'expiration : %s/%s"
"Export","Exporter"
"Export CSV","Exporter en CSV"
"Export Filters","Filtres d'export"
"Export to:","Exporter vers :"
"Export:","Export :"
"Extension","Extension"
"Extensions","Extensions"
"FTP Host[:Port]","Hôte FTP [:Port]"
"Failed to add a product to cart by id ""%s""","Impossible d'ajouter un produit au panier par id ""%s"""
"Failed to clear JavaScript/CSS cache.","Impossible de purger le cache JavaScript/CSS."
"Failed to save invoice.","Impossible d'enregistrer la facture."
"Field","Champ"
"Field Mapping","Mapping de champs"
"File","Fichier"
"File Information","Informations du fichier"
"File name:","Nom du fichier :"
"File size should be more than 0 bytes","Le fichier doit avoir une taille supérieure à 0 octets"
"Files","Fichiers"
"Final Price","Prix final"
"Finished profile execution.","Exécution du profil terminée."
"First Name","Prénom"
"First Name is required field.","Le prénom est requis."
"First Name:","Prénom :"
"Firstname","Prénom"
"Fixed","Fixé"
"Flat Catalog Category rebuild error","Erreur de reconstruction des catégories de catalogue fixes."
"Flat Catalog Category was rebuilt successfully","Le catalogue à plat des catégories a bien été reconstruit"
"Flat Catalog Product rebuild error. Please try again later","Erreur de reconstruction du catalogue produit fixe. Veuillez réessayer plus tard."
"Flat Catalog Product was rebuilt successfully","Le catalogue à plat des produits a bien été reconstruit"
"Flush Catalog Images Cache","Purger le Cache des Images Catalogue"
"Flush JavaScript/CSS Cache","Purger le Cache JavaScript/CSS"
"For category","Pour une catégorie"
"For latest version visit: %s","Pour la visite de la dernière version : %s"
"For product","Pour un produit"
"Forgot your password?","Mot de passe oublié ?"
"Forgot your user name or password?","Nom d'utilisateur ou mot de passe oublié ?"
"From","De"
"GLOBAL","GLOBAL"
"Gb","Go"
"General Information","Informations générales"
"General Section","Section générale"
"Get Image Base64","Récupérer l'image Base64"
"Get help for this page","Obtenir de l'aide pour cette page"
"Global Attribute","Attribut global"
"Global Record Search","Recherche globale"
"Global Search","Recherche globale"
"Go Today","Aller à aujourd'hui"
"Google Base","Google Base"
"Google Base Items","Articles Google Base"
"Google Sitemaps","Google Sitemaps"
"Grand Total","Montant global"
"Grid (default) / List","Grille (par défaut) / Liste"
"Grid only","Grille seulement"
"Group node name should be specified with field node name.","Le nom du noeud de groupe devrait être renseigné avec le nom du noeud de champ."
"Group:","Groupe :"
"Guest","Invité"
"HTTP (unsecure)","HTTP (non sécurisé)"
"HTTPS (SSL)","HTTPS (SSL)"
"Help Us Keep Magento Healthy - Report All Bugs","Aidez-nous à améliorer Magento - Signalez tous les bugs"
"Home","Accueil"
"ID","ID"
"ID Path","ID chemin"
"IP Address","Adresse IP"
"IPN (Instant Payment Notification) Only","Notification instantanée de paiement (IPN) seulement"
"If this message persists, please contact the store owner.","Si ce message perssiste, merci de contacter le dirigeant du magasin."
"Ignore","Ignorer"
"Image cache was cleaned successfully.","Le cache image a bien été nettoyé"
"Image cache was cleared successfully","Le cache image a bien été effacé"
"Images","Images"
"Images (.gif, .jpg, .png)","Images (.gif, .jpg, .png)"
"Images Cache","Cache Images"
"Import","Importer"
"Import Service","Service d'import"
"Import and Export","Importer et Exporter"
"Import and Export Tax Rates","Importer et Exporter des Taux de TVA"
"Import/Export","Importer/Exporter"
"Import/Export Advanced","Import/export avancé"
"Import/Export Profile","Profil d'importation/exportation"
"Imported <strong>%s</strong> records","<strong>%s</strong> enregistrements importés"
"In","En"
"In Database:","Dans la base de données :"
"In File:","Dans le fichier :"
"Inactive","Inactif"
"Incl. Tax","TTC"
"Include","Inclure"
"Incoming Message","Message entrant"
"Insert Variable...","Insérer une variable..."
"Interactive","Interactif"
"Interface Locale: %s","Langue de l'interface : %s"
"Invalid Form Key. Please refresh the page.","Clé de formulaire invalide. Veuillez actualiser la page."
"Invalid Import Service Specified","Service d'importation spécifié non valide"
"Invalid POST data (please check post_max_size and upload_max_filesize settings in you php.ini file)","Données POST invalides (Veuillez vérifier les paramètres post_max_size et upload_max_filesize dans votre fichier php.ini)"
"Invalid Secret Key. Please refresh the page.","Clé Secrète invalide. Veuillez actualiser la page."
"Invalid Username or Password.","Identifiant ou mot de passe non valide"
"Invalid directory: %s","Répertoire invalide : %s"
"Invalid email address ""%s""","Email ""%s"" non valide"
"Invalid file: %s","Fichier invalide : %s"
"Invalid input data for %s => %s rate","Données d'entrée pour %s => taux %s : non valides"
"Invalid parrent block for this block","Bloc parent invalide pour ce bloc."
"Invalid section value","Valeur de section invalide"
"Invalid sender name ""%s"". Please use only visible characters and spaces.","Le nom ""%s"" de l'expéditeur est invalide."
"Invalid store value","Valeur de magasin invalide"
"Invalid website value","Valeur de site web invalide"
"Invalidated","Invalidé"
"Inventory Stock Status","Statut du stock de l'inventaire"
"Invoice #%s comment added","Commentaire ajouté à la facture n°%s"
"Invoice #%s created","Facture n°%s créée"
"Invoice History","Historique de la facture"
"Invoice Totals","Totaux de la facture"
"Invoice and shipment have been successfully created.","La facture et l'expédition ont bien été créées"
"Invoice cancel error.","Erreur d'annulation de facture."
"Invoice capture error","Erreur de saisie de facture."
"Invoice has been successfully created.","La facture a été créée"
"Invoice void error","Erreur : Facture vide."
"Invoice was successfully canceled.","La facture a été annulée"
"Invoice was successfully captured","La facture a été saisie"
"Invoice was successfully voided","La facture a été annulée"
"Invoice without products could not be created.","Une facture sans produits n'a put être créée."
"Invoices","Factures"
"Issue Number","Numéro de problème"
"Issuer: %s","Problème : %s"
"Items","Articles"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","Cache JavaScript/CSS"
"JavaScript/CSS cache has been cleared successfully.","Le cache JavaScript/CSS a été effacé"
"JavaScript/CSS cache was cleaned successfully.","Le cache JavaScript/CSS a été nettoyé"
"Kb","Ko"
"Last 24 hours","Dernières 24 heures"
"Last 5 Orders","5 dernières commandes"
"Last 5 Search Terms","5 derniers termes recherchés"
"Last 7 days","7 derniers jours"
"Last Logged In (%s):","Dernière connection (%s) le :"
"Last Logged In:","Dernière connection le :"
"Last Name","Nom"
"Last Name is required field.","Le Nom est requis."
"Last Name:","Nom :"
"Last updated: %s. To refresh last day's <a href=""%s"">statistics</a>, click <a href=""%s"">here</a>","Dernière mise à jour : %s. Pour actualiser les <a href=""%s"">statistiques</a> des derniers jours, cliquez <a href=""%s"">ici</a>"
"Last updated: %s. To refresh last day\'s <a href=""%s"">statistics</a>, click <a href=""%s"">here</a>","Dernière mise à jour : %s. Pour actualiser les <a href=""%s"">statistiques</a> des derniers jours, cliquez <a href=""%s"">ici</a>"
"Lastname","Nom"
"Latest Message:","Dernier message :"
"Layered Navigation Indices","Index de navigation par filtre"
"Layered Navigation Indices was refreshed successfully","L'index de navigation par filtre a été actualisé"
"Layered Navigation Indices were refreshed successfully","L'index de navigation par filtre a été actualisé"
"Layered Navigation indexing queue cancelled","La file d'attente de l'indexation de la navigation par filtre a été effacée."
"Layered Navigation indexing queued","L'indexation de la navigation par filtre a été ajoutée à la file d'attente."
"Layered Navigation process queued to be killed"," L'arrêt du processus de navigation par filtre a été ajouté à la file d'attente."
"Leave empty to use tax identifier","Laissez vide pour utiliser l'identifiant de TVA"
"Lifetime Sales","Total des ventes"
"Lifetime statistics was successfully updated","Les statistiques générales ont été mises à jour"
"Links","Liens"
"Links with associated products will retain only after saving current product.","Les liens vers les produits associés ne seront conservés qu'après sauvegarde du produit actuel."
"List (default) / Grid","Liste (par défaut) / grille"
"List only","Liste seulement"
"Load Template","Charger le gabarit"
"Load default template","Charger le gabarit par défaut"
"Loading...","En cours de chargement..."
"Local Server","Serveur local"
"Local/Remote Server","Serveur local/distant"
"Locale","Profil local"
"Log Out","Déconnexion"
"Log in to Admin Panel","<em>Connexion</em> à l'administration"
"Log into Magento Admin Page","Connexion à l'administration Magento"
"Logged in as %s","Connecté sous <strong>%s</strong>"
"Login","Se connecter"
"Low Stock","Stock bas"
"MAJOR","MAJEUR"
"MINOR","MINEUR"
"MS Excel XML","XML MS Excel"
"Magento Admin","Admin Magento"
"Magento Commerce - Administrative Panel","Panneau de gestion - Magento Commerce"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Gestion Magento Connect"
"Magento Logo","Logo Magento"
"Magento cache storage was flushed successfully .","Le cache Magento a été purgé"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento est une marque déposée de Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc."
"Magento ver. %s","Magento <strong>ver. %s</strong>"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade; est une marque déposée de Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc."
"Manage Attribute Sets","Gérer les groupes d'attributs"
"Manage Attributes","Gérer les attributs"
"Manage Categories","Gérer les catégories"
"Manage Content","Gérer le contenu"
"Manage Currency Rates","Gestion des taux des devises"
"Manage Customers","Gérer les clients"
"Manage Ratings","Gérer les notations"
"Manage Stores","Gestion des magasins"
"Manage Tax Rules","Gérer les règles de TVA"
"Manage Tax Zones and Rates","Gérer les zones de taxes et les taux"
"Manage osCommerce Orders","Gestion des commandes osCommerce"
"Manage osCommerce Profiles","Gestion des profils osCommerce"
"Matched expression","Expression correspondante"
"Max","Max"
"Mb","Mo"
"Media (.avi, .flv, .swf)","Média (.avi, .flv, .swf)"
"Messages Inbox","Messages reçus"
"Min","Min"
"Month","Mois"
"Most Viewed","Les plus consultés"
"Most Viewed Products","Produits les plus consultés"
"Multiple Select","Sélection multiple"
"My Account","Mon compte"
"N/A","N/A"
"NOTICE","annonce"
"Name","Nom"
"Name on Card","Propriétaire de la carte"
"Name on the Card: %s","<strong>Nom sur la carte :</strong> <span class=""nowrap"">%s</span>"
"Name:","Nom :"
"New ","Nouveau "
"New Accounts","Nouveaux comptes"
"New Api Key","Nouvelle clé API"
"New Attribute","Nouvel Attribut"
"New Block","Nouveau bloc"
"New Category","Nouvelle catégorie"
"New Class","Nouvelle classe"
"New Condition","Nouvelle condition"
"New Custom Variable","Nouvelle Variable Personnalisée"
"New Customer","Nouveau client"
"New Customers","Nouveaux clients"
"New Design Change","Nouveau changement d'habillage"
"New Email Template","Nouveau gabarit de mail"
"New Group","Nouveau groupe"
"New Invoice","Nouvelle facture"
"New Item Type","Nouveau type d'article"
"New Memo","Nouvel avoir"
"New Memo for #%s","Nouvel avoir pour n°%s"
"New Page","Nouvelle page"
"New Password","Nouveau mot de passe"
"New Poll","Nouveau sondage"
"New Profile","Nouveau profil"
"New Rate","Nouveau taux"
"New Rating","Nouvelle notation"
"New Review","Nouveau commentaire"
"New Role","Nouveau rôle"
"New Rule","Nouvelle règle"
"New Search","Nouvelle recherche"
"New Set","Nouveau groupe"
"New Shipment","Nouvelle livraison"
"New Sitemap","Nouveau plan de site"
"New Store View","Nouvelle vue magasin"
"New System Template","Nouveau gabarit système"
"New Tag","Nouveau Tag"
"New Template","Nouveau gabarit"
"New User","Nouvel utilisateur"
"New Variable","Nouvelle Variable"
"New Website","Nouveau site web"
"New admin password","Nouveau mot de passe administrateur"
"Newsletter","Newsletter"
"Newsletter Problems","Problèmes de Newsletter"
"Newsletter Queue","File d'attente Newsletter"
"Newsletter Subscribers","Abonnés à la Newsletter"
"Newsletter Templates","Gabarits Newsletter"
"Next month (hold for menu)","Mois suivant (maintenez pour le menu)"
"Next page","Page suivante"
"Next year (hold for menu)","Année prochaine (maintenez pour le menu)"
"No","Non"
