"* Required Fields","* Champs obligatoires"
"Online","En ligne"
"Online Customers","Clients en ligne"
"Online Customers Options","Options des clients en ligne"
"Online Minutes Interval","Intervalle en minutes"
"Order #","N° de commande"
"Order Total","Total de la commande"
"Orders","Commandes"
"PDF","PDF"
"Password","Mot de passe"
"Password Management","Gestion du mot de passe"
"Password Options","Options de mot de passe"
"Password can\'t be empty","Le mot de passe ne peut pas être vide"
"Password fields can\'t be empty.","Les champs mot de passe ne peuvent pas être vide"
"Password forgotten","Mot de passe oublié"
"Password minimal length must be more %s","Le mot de passe doit comporter au moins %s caractères."
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Le mot de passe doit comporter au moins 6 caractères. Les espaces en début et fin seront ignorés."
"Password:","Mot de passe :"
"Paused","Arrêté"
"Pending","En attente"
"Per Website","Par site web"
"Personal Information","Informations personnelles"
"Please enter your email below and we\'ll send you a new password.","Saisissez votre email et nous vous enverrons un nouveau mot de passe."
"Please enter your email below and we\'ll send you confirmation link for it.","Saisissez votre email et nous vous enverrons un lien de confirmation."
"Please enter your email.","Saisissez votre email."
"Please make sure your passwords match.","Vérifiez que vos mots de passe concordent."
"Please select","Sélectionnez"
"Please select region, state or province","Sélectionnez un département / état"
"Please, check your e-mail for confirmation key.","Vérifiez votre email pour la clé de confirmation."
"Prefix","Préfixe"
"Prefix dropdown options","Options de la liste déroulante de préfixe"
"Price","Prix"
"Problem saving the collection, aborting. Error: %s","Problème lors de la sauvegarde de la collection. Annulation. Erreur : %s"
"Product","Produit"
"Product ID","ID de produit"
"Product Name","Nom du produit"
"Product Reviews","Commentaires"
"Product Tags","Tags du produit"
"Product name","Nom du produit"
"Purchase On","Commande passée le"
"Purchased at","Acheté le"
"Qty","Qté"
"Recent Orders","Commandes récentes"
"Records for ""","Enregistrements pour """
"Redirect Customer to Account Dashboard after Logging in","Rediriger les clients vers leur tableau de bord après connexion"
"Refunded","Remboursé"
"Registered Customers","Clients enregistrés"
"Remove","Supprimer"
"Require Emails Confirmation","Nécessite la confirmation par email"
"Retrieve address data","Récupérer les données d'adresse"
"Retrieve address info","Récupérer les informations d'adresse"
"Retrieve customer addresses","Récupérer les adresses du client"
"Retrieve customer data","Récupérer les données du client"
"Retrieve customer groups","Récupérer les groupes de client"
"Retrieve customer info","Récupérer les informations de client"
"Retrieve customers","Récupérer les clients"
"Retrieve your confirmation link here","Récupérez votre lien de confirmation ici"
"Retrieve your password here","Récupérez votre mot de passe ici"
"SKU","Réf."
"Sales Statistics","Statistiques de ventes"
"Save","Sauvegarder"
"Save Address","Sauvegarder l'adresse"
"Save And Continue Edit","Sauvegarder et continuer à éditer"
"Save Customer","Sauvegarder le client"
"Save Customer Group","Sauvegarder le groupe clients"
"Save Password","Sauvegarder le mot de passe"
"Saved ","Sauvegardé "
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Valeurs séparées par des points-virgules (;).<br/>Commencer par un point-virgule pour une valeur vide en début d'options.<br/>Laisser vide pour un champ texte libre."
"Send From","Envoyé de"
"Send Welcome Email after Confirmation","Envoyer un mail de bienvenue après la confirmation"
"Send auto-generated password","Envoyer un mot de passe généré automatiquement"
"Send confirmation link","Envoyer un lien de confirmation"
"Send welcome email","Envoyer un mail de bienvenue"
"Sending","Envoi en cours"
"Sent","Envoyé"
"Session Start Time","Début de session"
"Set as Default Billing Address","Définir comme adresse de facturation par défaut"
"Set as Default Shipping Address","Définir comme adresse de livraison par défaut"
"Share Customer Accounts","Partager les comptes client"
"Shipped to First Name","Prénom (Livr.)"
"Shipped to Last Name","Nom de famille (Livr.)"
"Shipped to Name","Nom (Livr.)"
"Shopping Cart","Panier"
"Shopping Cart - %d item(s)","Panier - %d article(s)"
"Show Tax/VAT number","Afficher le numéro de TVA intracommunautaire"
"Show date of birth","Afficher la date de naissance"
"Show gender","Afficher le sexe"
"Show middle name (initial)","Afficher le deuxièmre prénom (initale)"
"Show prefix","Afficher le préfixe"
"Show suffix","Afficher le suffixe"
"Sign Up for Newsletter","Abonnez-vous à la newsletter"
"Skip import row, required field ""%s"" not defined","Ligne ignorée, le champ obligatoire ""%s"" n'est pas défini"
"Skip import row, website ""%s"" field not exists","Ligne ignorée, le champ du site web ""%s"" n'existe pas"
"State/Province","Département/État"
"Status","Statut"
"Store","Magasin"
"Store View","Vue magasin"
"Street Address","Rue - Voie - Bât."
"Street Address ","Rue - Voie - Bât. "
"Subject","Sujet"
"Submit","Valider"
"Subscribe to newsletter","S'abonner à la newsletter"
"Subscribed to Newsletter?","Abonné à la newsletter ?"
"Suffix","Suffixe"
"Suffix dropdown options","Options de la liste déroulante de suffixes"
"TAX/VAT number is required.","Le numéro de TVA intracommunautaire est obligatoire."
"Tag Name","Nom du tag"
"Tax Class","Classe de TVA"
"Tax class","Classe de TVA"
"Tax/VAT number","Numéro de TVA intracommunautaire"
"Telephone","Téléphone"
"Text","Texte"
"Text One Line","Texte sur une ligne"
"Thank you for registering with %s","Merci de votre inscription sur %s"
"The address does not belong to this customer","L'adresse n'appartient pas à ce client"
"The address was successfully deleted","L'adresse a été effacée"
"The address was successfully saved","L'adresse a été sauvegardée avec succès !"
"The suffix that goes after name (Jr., Sr., etc.)","Le suffixe vient après le nom (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","Le préfixe vient avant le nom (M., Mme, etc.)"
"There are no items in customer's wishlist at the moment","Aucun article dans la liste d'envies du client"
"There are no items in customer\'s shopping cart at the moment","Il n\'y a aucun article dans le panier du client"
"There is already an account with this emails address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Il existe déjà un compte avec cette adresse email. Si vous êtes certains que cette adresse est la vôtre, <a href=""%s"">cliquez ici</a> pour obtenir un mot de passe et ainsi accéder à votre compte."
"There was an error while deleting the address","La suppression de l'adresse a échoué"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","Cet email sera envoyé à la place de l'email d'accueil par défaut, après la confirmation du compte."
"This account is not confirmed.","Ce compte n'est pas confirmé."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Ce compte n'a pas encore été confirmé. <a href=""%s"">Cliquez ici</a> Pour envoyer un nouvel email de confirmation."
"This customer has no saved addresses.","Le client n'a pas d'adresse sauvegardée"
"This e-mail does not require confirmation.","Cet email ne nécessite pas de confirmation."
"This email address was not found in our records","Cette adresse mail n'a pas été trouvée dans nos enregistrements"
"This is My Default %s Address","Ceci est mon adresse de <strong>%s</strong> par défaut"
"To Cart","Vers le panier"
"Total","Total"
"Type","Type"
"Unknown","Inconnu"
"Unsubscribe from newsletter","Se désabonner de la newsletter"
"Update","Mettre à jour"
"Update customer address data","Modifier les données de l'adresse client"
"Update customer data","Modifier les données du client"
"Use as My Default %s Address","Utiliser comme adresse <strong>%s</strong> par défaut"
"Use as my default billing address","Utiliser comme adresse de facturation par défaut"
"Use as my default shipping address","Utiliser comme adresse de <strong>livraison</strong> par défaut"
"User description","Description utilisateur"
"View","Voir"
"View Order","Voir la commande"
"Visible In","Visible dans"
"Visitor","Visiteur"
"Visitors Only","Visiteurs seulement"
"Website","Site web"
"Welcome Email","Email de bienvenue"
"Wishlist","Liste d'envies"
"Wishlist - %d item(s)","Liste d'envies - %d article(s)"
"Wrong confirmation key.","Clé de confirmation erronée."
"Wrong customer account specified.","Le compte client spécifié est erroné."
"Wrong email.","Email erroné."
"Wrong transactional account email type.","Le type d'email de compte transactionnel est erroné."
"XML","XML"
"YYYY","AAAA"
"Year","Année"
"You are currently not subscribed to any newsletter.","Vous n'êtes abonné à aucune newsletter."
"You are currently not subscribed to our newsletter","Vous n'êtes pas encore abonné(e) à notre newsletter"
"You are currently subscribed to 'General Subscription'.","Vous êtes abonné à 'Abonnement général'"
"You are currently subscribed to our newsletter","Vous êtes actuellement abonné(e) à notre newsletter"
"You are currently subscribed to our newsletter.","Vous êtes abonné(e) à notre newsletter"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Vous avez été déconnecté(e) avec succès et vous allez être redirigé(e) vers notre page d'accueil dans 5 secondes."
"You have no additional address entries in your address book.","Vous n'avez pas d'entrées supplémentaires dans votre carnet d'adresses."
"You have no additional entries in your address book.","Vous n'avez pas d'entrées supplémentaires dans votre carnet d'adresses"
"You have no default billing address in your address book.","Vous n'avez pas d'adresse de facturation par défaut dans votre carnet d'adresses."
"You have no default entries in your address book.","Vous n'avez pas d'entrée par défaut dans votre carnet d'adresses"
"You have no default shipping address in your address book.","Vous n'avez pas d'adresse de livraison par défaut dans votre carnet d'adresses."
"You have not set a default billing address.","Vous n'avez pas spécifié d'adresse de facturation par défaut."
"You have not set a default shipping address.","Vous n'avez pas spécifié d'adresse de livraison par défaut."
"You have placed no orders yet.","Vous n'avez pas encore passé de commande."
"You have placed no products yet.","Vous n'avez pas encore choisi de produit."
"You're now Logged Out","Vous êtes maintenant déconnecté."
"Your account balance is: %s","Le solde de votre compte est de : <strong>%s</strong>"
"ZIP","Code postal"
"ZIP/Post Code","Code postal"
"Zip/Postal Code","Code postal"
"n/a","n/a"
"or","ou"
"Middle Name/Initial","Nom du milieu / Initiales"
