"# of Use","Nb d'utilisations"
"%1$s incl tax.","%1$s TTC"
"%s - %s","%s - %s"
"%s Item(s)","%s article(s)"
"Are you sure you would like to remove all products from your comparison?","Êtes-vous sûr de vouloir enlever tous les produits de la comparaison ?"
"Are you sure you would like to remove this item from the compare products?","Êtes-vous sûr de vouloir enlever cet article de la comparaison ?"
"Are you sure?","En êtes-vous sûr ?"
"As low as:","Prix spécial :"
"Assign","Assigner"
"Assign product link","Assigner un lien de produit"
"Assign product to category","Assigner un produit à une catégorie"
"Assigned Products","Produits assignés"
"Associated Products","Produits associés"
"Attrib. Set Name","Nom du groupe d'attributs"
"Attribute ""%s"" is required","L'attribut ""%s"" est requis"
"Attribute Information","Informations attributs"
"Attribute Model","Modèle d'attribut"
"Attribute Name:","Nom de l'attribut :"
"Attribute Set","Groupe d'attributs"
"Attribute Set no longer exists.","Ce groupe d'attribut n'existe plus."
"Attribute Set successfully saved.","Ce groupe d'attribut a bien été sauvegardé."
"Attribute group with the \/name/\"" name already exists""","Il existe déjà un groupe d'attributs portant le même nom"
"Attribute model not defined","Modèle d'attribut non défini "
"Attribute with the same code already exists","Un attribut avec le même code existe déjà"
"Attributes","Attributs"
"Attrribute names can be specified per store.","Les noms d'attributs peuvent être spécifiés pour chaque magasin."
"Autogenerate","Générer automatiquement"
"Availability ","Disponibilité :"
"Back","Retour"
"Backend Model","Modèle pour le back office"
"Backend Table","Table de back office"
"Backend Table Title","Titre de table de back office"
"Backorders","Commande en rupture de stock"
"Base directory to upload image file is not specified","Le répertoire de base pour télécharger les images n'est pas spécifié"
"Based On","Basé sur"
"Best Value","Meilleure affaire"
"Block after Info Column","Bloc après la colonne d'information"
"Bottom Block Options Wrapper","Options du bloc du bas"
"Bottom/Left","En bas à gauche"
"Bottom/Right","En bas à droite"
"Browse By","Filtrer par"
"Buy %1$s for %2$s","Achetez-en %1$s pour %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Achetez-en %1$s à %2$s (%3$s TTC) pièce"
"Buy %1$s for %2$s each","Achetez-en %1$s à %2$s pièce"
"Cache Lifetime (Seconds)","Durée de vie du cache (secondes)"
"Can be used only with catalog input type Dropdown","Ne peut être utilisé qu'avec un catalogue type liste déroulante"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Ne peut être utilisé qu'avec un type de saisie ""liste déroulante"", ""choix multiple"" ou ""prix"""
"Can't create image.","Impossible de créer l'image"
"Cannot create writeable directory '%s'","Impossible de créer de dossier inscriptible '%s'"
"Cart Item Attribute","Attribut d'article panier"
"Catalog","Catalogue"
"Catalog Category (Anchor)","Catégorie de catalogue (ancré)"
"Catalog Category (Non-Anchor)","Catégorie de catalogue (non-ancré)"
"Catalog Category (Without Subcategories)","Catégorie de catalogue (sans sous-catégories)"
"Catalog Category Link","Lien vers les catégories de catalogue"
"Catalog New Products List","Liste des nouveaux produits du catalogue"
"Catalog Price Scope","Portée des prix catalogue"
"Catalog Product Compare List","Liste de comparaison de produits catalogue"
"Catalog Product Email to a Friend","Email d'un produit catalogue à un ami"
"Catalog Product Image Gallery Popup","Pop-up de galerie d'images de produit"
"Catalog Product Link","Lien produit catalogue"
"Catalog Product View (Any)","Vue produit catalogue (Tous)"
"Catalog Product View (Configurable)","Vue produit catalogue (Configurable)"
"Catalog Product View (Grouped)","Vue produit catalogue (Groupé)"
"Catalog Product View (Simple)","Vue produit catalogue (Simple)"
"Catalog Product View (Virtual)","Vue produit catalogue (Virtuel)"
"Catalog Section","Section catalogue"
"Catalog Seo Popular Search Terms","Termes recherchés populaires du catalogue SEO"
"Catalog Seo Sitemap (Category List)","Catalog Seo Sitemap (Liste des catégories)"
"Catalog Seo Sitemap (Category Tree)","Catalog Seo Sitemap (Arborescence catégorie)"
"Catalog Seo Sitemap (Common)","Catalog Seo Sitemap (Commun)"
"Catalog Seo Sitemap (Product List)","Catalog Seo Sitemap (Liste produit)"
"Catalog Url Rewrites","Ré-écriture des URL catalogue"
"Catalog, Search","Catalogue, Recherche"
"Categories","Catégories"
"Categories Sitemap","Plan de site des catégories"
"Category","Catégorie"
"Category API","API de catégorie"
"Category Data","Données de catégorie"
"Category Flat Data","Données fixes de catégorie"
"Category Link Block Template","Gabarit du bloc lien catégorie"
"Category Link Inline Template","Gabarit inline de lien catégorie"
"Category Products","Produits de la catégorie"
"Category Top Navigation","Navigation dans les catégories"
"Category URL Suffix","Suffixe d'URL des catégories"
"Category attributes API","API d'attributs de catégories"
"Category delete error","Erreur de suppression de catégorie"
"Category deleted","Catégorie supprimée"
"Category move error","Erreur de déplacement de catégorie"
"Category move operation is not possible: new parent category not found.","Déplacement de catégorie impossible: nouvelle catégorie mère non trouvée."
"Category must be instance of Mage_Catalog_Model_Category","La catégorie doit être une instance de Mage_Catalog_Model_Category"
"Category saved","Catégorie sauvegardée"
"Center","Centrer"
"Change","Modifier"
"Change or Retrieve attribute store view","Changer ou récupérer la vue magasin de l'attribut"
"Change status","Modifier le statut"
"Check items to add to the cart or","Cochez les articles à ajouter au panier ou"
"Choose an Option...","Choisissez une option..."
"Clear All","Tout supprimer"
"Close Window","Fermer la fenêtre"
"Collapse All","Tout réduire"
"Comparable","Comparable"
"Comparable on Front-end","Comparable sur le front-office"
"Compare","Comparer"
"Compare Products","Comparer des produits"
"Compare Products List","Comparer la liste des produits"
"Compare list successfully cleared","La liste de comparaison a bien été effacée"
"Conditions Combination","Combinaison de conditions "
"Configurable Product","Produit configurable"
"Configurable Product Settings","Paramètres produit configurable"
"Continue","Continuer"
"Copy From Configurable","Copier à partir d'un configurable"
"Country/State","Pays / État"
"Create","Créer"
"Create (Upload)","Créer (télécharger)"
"Create Empty","Créer vide"
"Create Product Settings","Créer des attributs produit"
"Create Simple Associated Product","Créer un produit simple associé"
"Create new category","Créer une catégorie"
"Create new product","Créer un produit"
"Cross-sells","Ventes croisées"
"Currently Shopping by","Votre sélection :"
"Custom Design","Habillage personnalisé"
"Custom Options","Options personnalisables"
"Customer Group","Groupe de clients"
"Customers Reviews","Clients ayant commenté"
"Customers Tagged Product","Clients ayant taggé ce produit"
"Customers for alert %s was successfuly added to queue","Les clients ont bien été ajoutés à la file de l'alerte %s."
"Data Type for Saving in Database","Type de données à sauvegarder dans la base de données"
"Date & Time Custom Options","Options de date & heure personnalisées"
"Date Subscribed","Date d'abonnement"
"Date fields order","Ordre de champs de date"
"Datetime","Date et heure"
"Decimal","Décimal"
"Declare attribute value saving scope","Déclarer la portée d'économie de valeurs d'attributs"
"Default Qty","Qté par défaut"
"Default Values","Valeurs par défaut"
"Default price","Prix par défaut"
"Delete","Supprimer"
"Delete Attribute","Supprimer l'attribut"
"Delete Attribute Set","Supprimer le groupe d'attribut"
"Delete Category","Supprimer cette catégorie"
"Delete Option","Supprimer l'option"
"Delete Row","Supprimer la ligne"
"Delete Search","Supprimer la recherche"
"Delete Selected Group","Supprimer le groupe sélectionné"
"Delete category","Supprimer la catégorie"
"Delete product","Supprimer le produit"
"Depends on design theme","Dépendant du thème d'habillage"
"Design","Habillage"
"Disabled","Désactivé"
"Disallowed file type.","Type de fichier interdit."
"Display in Suggested Terms","Afficher dans les termes suggérés"
"Double click on a group to rename it","Double-cliquez sur un groupe pour le renommer"
"Double click on above image to view full picture","Double-cliquez sur l'image ci-dessus pour la voir en entier"
"Duplicate","Dupliquer"
"Duplicate website tier price customer group and quantity.","Le prix par palier pour ce site web, ce groupe client et cette quantité existe déjà."
"Duplicate website, country and state tax found.","Une taxe pour ce site web, ce pays et cet état existe déjà."
"Edit","Éditer"
"Edit Attribute Set '%s'","Éditer le jeu d'attributs '%s'"
"Edit Product Attribute","Éditer l'attribut produit"
"Edit Product Attribute ""%s""","Éditer l'attribut produit ""%s"""
"Edit Search","Modifier la recherche"
"Edit Search '%s'","Éditer la recherche '%s'"
"Edit Set Name","Éditer le nom du groupe"
"Email","Email"
"Email template is not specified by administrator","Gabarit de mail non spécifié par l'administrateur"
"Email to %s was not sent","L'email vers %s n'a pas été envoyé"
"Email to a Friend","Envoyer à un ami"
"Empty","Vide"
"Enable WYSIWYG","Activer WYSIWYG"
"Enabled","Activé"
"Error during retrieval of option value: %s","Erreur lors de la récupération de la valeur de l'option : %s"
"Error while adding customers for %s alert. Message: %s","Erreur lors de l'ajout de clients pour l'alerte %s. Message: %s"
"Error while saving Attribute Set.","Erreur lors de la sauvegarde du groupe d'attributs."
"Error while saving search query. Please try again later.","Erreur lors de la sauvegarde de la requête de recherche. Veuillez réessayer ultérieurement."
"Error while saving this group. Group with the same name already exists.","Erreur pendant la sauvegarde de ce groupe. Un groupe avec le même nom existe déjà."
"Error while saving this group. Please try again later.","Erreur pendant la sauvegarde de ce groupe. Veuillez réessayer ultérieurement."
"Exclude","Exclure"
"Expand All","Tout développer"
"Failed","Échec"
"Failed to move file: %s","Erreur lors du déplacement du fichier : %s"
"Feature Products","Produits sélectionnés"
"Field is not complete","Champ non complet"
"File options format is not valid","Le format des options de fichier n'est pas valide"
"File upload failed","L'envoi de fichier a échoué"
"Filter model name must be declared","Le nom du modèle de filtre doit être déclaré"
"Filter must be as object. Set correct filter please","Le filtre doit être un objet. Veuillez utiliser un filtre correct"
"Filterable (no results)","Filtrable (pas de résultats)"
"Filterable (with results)","Filtrable (avec résultats)"
"Filters must be as array","Les filtres doivent être des tableaux"
"First Name","Prénom"
"Fixed","Fixé"
"Flat Catalog module has a limit of %2\$d filterable and/or sort able attributes. Currently there are %1\$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Le module Catalogue Fixe a une limite de %2\$d attributs filtrables et/ou triables. Il y en a actuellement %1\$d. Merci d'en réduire le nombre afin d'utiliser ce module."
"For reindex enabled product(s) you need specify store or product","Pour réindexer les produits activés vous devez préciser le magasin ou le produit"
"Frontend","Frontend"
"Frontend Model","Modèle du front office"
"Frontend Properties","Propriétés du front-office"
"Gallery","Galerie"
"General Information","Informations générales"
"Get special price","Récupérer le prix spécial"
"Global","Global"
"Globally Editable","Éditable globalement"
"Go to Home Page","Allez à la page d'accueil"
"Grid","Grille"
"Grouped Product","Produit groupé"
"Groups","Groupes"
"Home","Accueil"
"ID","ID"
"ID: %s","ID : %s"
"If empty, the Product Name will be used","Si vide, le nom du produit sera utilisé"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Si vous ne souhaitez pas spécifier une valeur d'option pour pour une vue magasin spécifique, la valeur par défaut (admin) sera utilisée"
"Image","Image"
"Image content is not valid base64 data.","L'image ne contient pas de données base64 valides."
"Image file not found","Fichier image introuvable"
"Image not exists","L'image n'existe pas"
"Image not specified.","Image non spécifiée"
"Image type and information need to be specified for each store view.","Le type et les informations d'image doivent être spécifiés pour chaque vue magasin."
"In Stock","En stock"
"In stock","En stock"
"Incl. Tax","TTC"
"Index product and categories url rewrites","Index de ré-écriture d'URL produit et catégorie"
"Index product attributes for layered navigation building","Index des attributs produit pour la navigation par filtres"
"Index product prices","Index des tarifs produit"
"Indexed category/products association","Index des associations catégorie/produits"
"Info Column Options Wrapper","Conteneur d'options de colonne d'info"
"Input Type","Type de saisie"
"Integer","Entier"
"Invalid Tier Prices","Prix par palier invalides"
"Invalid attribute %s","Attribut %s invalide"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Option spécifiée non valide pour l'attribut %s (%s), enregistrement ignoré"
"Invalid attribute set specified, skipping the record","Jeu d'attributs spécifié non valide, enregistrement ignoré"
"Invalid block: %s","Bloc non valide : %s"
"Invalid category","Catégorie non valide"
"Invalid category IDs","Identifiants de catégorie non valides"
"Invalid image file type","Type de fichier image non valide"
"Invalid image type.","Type d'image invalide."
"Invalid option id specified for %s (%s), skipping the record","Identifiant d'option spécifié non valide pour %s (%s), enregistrement ignoré"
"Invalid product type specified, skipping the record","Type de produit spécifié non valide, enregistrement ignoré"
"Invalid store specified","Magasin spécifié non valide"
"Invalid store specified, skipping the record","Magasin spécifié non valide, enregistrement ignoré"
"Invalid tier prices. Product is not associated to the requested website.","Prix par paliers invalides. Le produit n'est pas associé à ce site web."
"Invalid transactional email code","Code email de transaction invalide"
"Inventory","Inventaire"
"Is Default","Valeur par défaut"
"Is Required","Obligatoire"
"Items %s to %s of %s total","Total des articles de <strong>%s</strong> à <strong>%s</strong> sur <strong>%s</strong>"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Les articles que vous ne voulez pas afficher dans le catalogue ou dans les résultats de recherche doivent avoir le statut 'Désactivé' dans le magasin souhaité."
"Keep your eyes open for our special Back to School items and save A LOT!","Ouvrez grand les yeux et économisez un max !"
"Label","Libellé"
"Last Name","Nom de famille"
"Last Notification","Dernière notification"
"Learn More","En savoir plus"
"Length of text is too long","Ce texte est trop long"
"Line %d, Email: %s","Ligne %d, Email : %s"
"Line %d, SKU: %s","Ligne %d, Réf. : %s"
"Link (Related, Up sell, Cross sell)","Lien (produits apparentés, vente incitative, vente croisée)"
"Link product not exists.","Le produit lié n'existe pas."
"Link to a Specified Category","Lien vers une catégorie spécifique"
"Link to a Specified Product","Lien vers un produit spécifique"
"List","Liste"
"List Mode","Mode liste"
"List of Products that are set as New","List des produits configurés comme Nouveaux"
"Manage Attribute Sets","Gérer les groupes d'attributs"
"Manage Attributes","Gérer les attributs"
"Manage Catalog Categories","Gérer les catégories du catalogue"
"Manage Categories","Gérer les catégories"
"Manage Label / Options","Gérer les labels/les options"
"Manage Options (values of your attribute)","Gérer les options (valeurs de vos attributs)"
"Manage Product Attributes","Gérer les attributs produit"
"Manage Product Sets","Gérer les ensembles de produits"
"Manage Products","Gérer les produits"
"Manage Stock","Gérer les stocks"
"Manage Titles (Size, Color, etc.)","Gérer les titres (Taille, couleur, etc.)"
"Max Characters","Nombre maxi de caractères"
"Maximal Depth","Profondeur maxi"
"Maximum Image Size","Taille d\'image maximum"
"Maximum Qty Allowed in Shopping Cart","Quantité maxi autorisée dans le panier"
"Maximum image height","Hauteur maximum d'image"
"Maximum image width","Largeur maximum d'image"
"Maximum number of characters","Nombre maxi de caractères"
"Media Image","Image"
"Minimum Lines Per Page","Minimum de lignes par pages"
"Minimum Qty Allowed in Shopping Cart","Quantité mini autorisée dans le panier"
"Minimum Qty for Item\'s Status to be Out of Stock","Quantité mini pour que le produit soit considéré comme épuisé"
"Missing SKU, skipping the record","Référence produit manquante, enregistrement ignoré"
"More Views","Plus de vues"
"Move","Déplacer"
"Move category in tree","Déplacer la catégorie dans l'arbre"
"Name","Nom"
"Name In %s","Nom en %s"
"Name<br/>(For internal use)","Nom<br/>(usage interne)"
"New Category","Nouvelle catégorie"
"New Product","Nouveau produit"
"New Product Attribute","Nouvel attribut produit"
"New Products","Nouveaux produits"
"New Products Grid Template","Nouveaux produits gabarit Grille"
"New Products List Template","Nouveaux produits gabarit Liste"
"New Search","Nouvelle recherche"
"New Set Name","Nouveau nom de groupe"
"Next","Suivant"
"No","Non"
"No image","Pas d'image"
"No layout updates","Pas de modification de l'agencement"
"No options of this product are available.","Aucune option n'est disponible pour ce produit."
"No product collections found","Aucune collection de produits trouvée"
"None","Aucun"
"Not Visible Individually","Non visible individuellement"
"Not defined Product Type for Indexer","Type de produit à indexer non défini"
"Notify Low Stock RSS","Flux RSS de notification de stock"
"Notify for Quantity Below","Notifier quand la quantité passe en dessous de"
"Number of Products to Display","Nombre de produits à afficher"
"Number of Uses","Nombre d'utilisations"
"Number of results<br/>(For last time placed)","Nombre de résultats<br/>(Depuis la dernière fois)"
"OR","OU"
"Old Price:","Ancien prix :"
"Option validation failed to add product to cart","La validation d'option n'a pû ajouter le produit au panier"
"Option:","Option :"
"Options Control","Contrôle des options"
"Options is required","Au moins une option doit être créée"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Notre service client et disponible 24h/24 et 7j/7. Appelez-nous au 01 02 03 04 05."
"Out of Stock","Épuisé"
"Out of stock","Épuisé"
"PM","PM"
"Page Title Separator","Séparateur de titre de page"
"Parent Category","Catégorie parente"
"Pending","En attente"
"Pending Reviews RSS","Flux RSS des commentaires en attente"
"Percentage","Pourcentage"
"Please add rows to option.","Veuillez ajouter des lignes à l\'option"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Soyez vigilant, dès que vous cliquerez sur la ligne, les données du package seront chargées et toutes les données du formulaire non sauvegardées seront perdues."
"Please click on Close Window button if it won't be closed automatically","Cliquez sur le bouton de fermeture de fenêtre si celle-ci ne se ferme pas automatiquement."
"Please enter a new group name","Veuillez entrer un nouveau nom de groupe"
"Please refresh ""Catalog Url Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Veuillez rafraîchir les ""Réécritures catalogue"" et ""Attributs produits"" dans Système -> <a href=""%s"">Gestion de l'index</a>"
"Please select  items","Sélectionnez des éléments"
"Please select one or more attributes.","Sélectionnez un ou plusieurs attributs"
"Please select product(s)","Sélectionnez le(s) produit(s)"
"Please select products for attributes update","Sélectionnez les produits pour la mise à jour des attributs"
"Please select static block ...","Sélectionnez un bloc statique ..."
"Please specify date required option(s)","Veuillez spécifier la (les) option(s) de date"
"Please specify the product option(s)","Veuillez spécifier la (les) option(s) de produit"
"Please specify the product required option(s)","Veuillez spécifier la (les) option(s) obligatoire(s) de produit"
"Please specify the product(s) quantity","Veuillez spécifier la quantité des produits"
"Please specify time required option(s)","Veuillez spécifier la (les) option(s) d'heure"
"Please, use four-digit year format","Veuillez entrer une année à 4 chiffres"
"Position","Position"
"Position In Layered Navigation","Position dans la navigation par filtres"
"Position of attribute in layered navigation block","Position de l'attribut dans le bloc de navigation par filtres"
"Prev","Précédent"
"Previous","Précédent"
"Price","Prix"
"Price Type","Type de prix"
"Price is not available","Prix non disponible"
"Price values for options should be specified in system base currency.","Les valeurs de prix pour les options doivent être spécifié dans la devise de base."
"Price:","Prix :"
"Print This Page","Imprimer cette page"
"Problem saving the collection, aborting. Error: %s","Problème lors de la sauvegarde de la collection, opération annulée. Erreur : %s"
"Product","Produit"
"Product %s successfully added to compare list","Le produit %s a été ajouté à la liste de comparaison"
"Product %s successfully removed from compare list","Le produit %s a bien été supprimé de la liste de comparaison"
"Product API","API produit"
"Product Alerts","Alertes sur les produits"
"Product Attribute","Attribut du produit"
"Product Attributes","Attributs de produit"
"Product Categories","Catégories du produit"
"Product Description","Description du produit"
"Product Flat Data","Données fixes de produit"
"Product Image Placeholders","Emplacements de l'image par défaut des produits"
"Product Image Watermarks","Filigranes d'images de produits"
"Product Images","Images de produit"
"Product Images API","API images de produit"
"Product In Websites","Produit dans les sites web"
"Product Info Column","Colonne d'information de produit"
"Product Information","Informations produit"
"Product Link Block Template","Gabarit de lien produit (bloc)"
"Product Link Inline Template","Gabarit de lien produit (en ligne)"
"Product Name","Nom du produit"
"Product Prices","Prix du produit"
"Product Reviews","Commentaires du produit"
"Product Tags","Tags du produit"
"Product Tier Price API","API des prix par paliers"
"Product Type","Type du produit"
"Product URL Suffix","Suffixe d'URL de produit"
"Product attribute sets API","API de jeux d'attributs de produit"
"Product attribute was successfully deleted","Attribut de produit supprimé avec succès"
"Product attribute was successfully saved","Attribut de produit sauvegardé avec succès"
"Product attributes API","API d'attributs de produit"
"Product collection expected","Collection de produits attendue"
"Product deleted","Produit supprimé"
"Product duplicated","Produit dupliqué"
"Product has required options","Le produit a des options obligatoires"
"Product links API (related, cross sells, up sells)","API des liens de produit (produits apparentés, ventes croisées, ventes incitatives)"
"Product listing sort by","Trier la liste de produits par"
"Product saving error.","Erreur lors de la sauvegarde du produit."
"Product types API","API de types de produit"
"Product was successfully created.","Le produit a bien été créé."
"Product was successfully saved.","Le produit a bien été sauvegardé."
"Product with this combination of attributes already associated to configurable.","Un produit avec cette combinaison d'attributs est déjà associé à ce produit configurable."
"Products","Produits"
"Products Information","Informations produits"
"Products Reviews","Produits commentés"
"Products Sitemap","Plan de site des produits"
"Products only","Produits seulement"
"Products per Page on Grid default value","Nombre par défaut d'articles par page en vue grille"
"Products per Page on List allowed values","Valeurs autorisées de nombres de produits par page en vue liste"
"Products per Page on List default value","Nombre par défaut d'articles par page en vue liste"
"Products per page on Grid allowed values","Valeurs autorisées de nombres de produits par page en vue grille"
"Properties","Propriétés"
"Qty","Quantité"
"Qty Uses Decimals","La quantité utilise des décimales"
"Qty for Item\'s Status to become Out of Stock","Quantité pour que l'article soit considéré comme épuisé."
"Qty:","Quantité :"
"Quick Create","Création rapide"
"Quick Overview","Description rapide"
"Quick simple product creation","Création rapide de produit simple"
"Records for ""","Enregistrements pour """
"Redirect","Rediriger"
"Redirect URL","URL de redirection"
"Regular Price:","Prix normal :"
"Related Products","Produits apparentés"
"Remove","Supprimer"
"Remove Product From Websites","Supprimer le produit des sites web"
"Remove This Item","Supprimer le filtre"
"Remove product assignment","Supprimer l'assignation de produit"
"Remove product image","Supprimer l'image de produit"
"Remove product link","Supprimer le lien de produit"
"Reorganize EAV category structure to flat structure","Réorganise la structure de catégorie EAV en une structure fixe"
"Reorganize EAV product structure to flat structure","Réorganise la structure de produit EAV en une structure fixe"
"Reset","Réinitialiser"
"Results","Résultats"
"Retrieve attribute data","Récupérer les données de l'attribut"
"Retrieve attribute list","Récupérer la liste d'attributs"
"Retrieve attribute options","Récupérer les options d'attribut"
"Retrieve categories tree","Récupérer l'arbre des catégories"
"Retrieve category attributes","Récupérer les attributs de catégorie"
"Retrieve category data","Récupérer les données de catégorie"
"Retrieve hierarchical tree","Récupérer l'arbre hiérarchique"
"Retrieve linked products","Récupérer les produits liés"
"Retrieve list of assigned products","Récupérer la liste des produits assignés"
"Retrieve one level of categories by website/store view/parent category","Récupérer un niveau des catégories par site web/magasin/catégorie parente"
"Retrieve product","Récupérer le produit"
"Retrieve product attribute sets","Récupérer les jeux d'attributs de produit"
"Retrieve product image","Récupérer l'image de produit"
"Retrieve product image list","Récupérer la liste des images de produit"
"Retrieve product image types","Récupérer les types d'images de produit"
"Retrieve product link type attributes","Récupérer les attributs de type de lien de produit"
"Retrieve product link types","Récupérer les types de liens de produit"
"Retrieve product tier prices","Récupérer les prix par paliers du produit"
"Retrieve product types","Récupérer les types de produit"
"Retrieve products data","Récupérer les données de produits"
"Retrieve products list by filters","Récupérer une liste filtrée de produits"
"Review has been successfully saved","Commentaire sauvegardé avec succès"
"Review successfully deleted","Commentaire supprimé avec succès"
"Review was removed by another user or does not exists","Ce commentaire n'existe pas ou a été effacé par un autre utilisateur"
"Review was successfully saved","Commentaire sauvegardé avec succès"
"Reviews","Commentaires"
"Roll Over for preview","Survoler pour avoir un aperçu"
"Root","Racine"
"SKU","Réf."
"Save","Sauvegarder"
"Save And Continue Edit","Sauvegarder et continuer à éditer"
"Save Attribute","Sauvegarder l'attribut"
"Save Attribute Set","Sauvegarder le groupe d'attributs"
"Save Category","Sauvegarder la catégorie"
"Save Search","Sauvegarder la recherche"
"Saved ","Sauvegardé"
"Scope","Portée"
"Search","Lancer"
"Search Engine Optimizations","Optimisations pour les moteurs de recherche"
"Search Information","Informations de recherche"
"Search Query","Termes de recherche"
"Search Term with such search query already exist.","Un terme de recherche existe déjà avec cette requête"
"Search was successfully deleted","Recherche supprimée avec succès"
"Searchable","Utilisable dans la recherche"
"Select Category...","Choisir une catégorie..."
"Select Configurable Attributes ","Sélectionner les attributs configurables"
"Select Product...","Choisir un produit..."
"Select type of option","Choisissez un type d\'option"
"Select type options required values rows.","Sélectionner les lignes des valeurs obligatoires des options"
"Selected Product Types","Types de produit sélectionnés"
"Selected configuration is not available.","La configuration choisie n'est pas disponible."
"Send Count","Nombre d'envois"
"Set Ascending Direction","Par ordre croissant"
"Set Descending Direction","Par ordre décroissant"
"Set Name","Nom du groupe"
"Set Root Category For Store","Définir la catégorie racine pour le magasin"
"Set root category for this store in the <a href=""%s"">configuration</a>","Choisir la catégorie racine pour ce magasin dans la <a href=""%s"">configuration</a>"
"Set special price","Fixer un prix spécial"
"Set/Get current store view","Renseigner/récupérer la vue magasin en cours"
"Settings","Paramètres"
"Shop by","Filtrer par"
"Shopping Options","Affiner la recherche"
"Show","Afficher"
"Show Details","Afficher les détails"
"Show Tags","Afficher les tags"
"Simple Product","Produit simple"
"Site Map","Plan du site"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Ligne ignorée, la valeur ""%s"" n'est pas valide pour le champ ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","Ligne ignorée, le champ obligatoire ""%s"" pour un nouveau client n'est pas défini"
"Skip import row, required field ""%s"" for new products not defined","Ligne ignorée, le champ obligatoire ""%s"" pour un nouveau produit n'est pas défini"
"Skip import row, required field ""%s"" not defined","Ligne ignorée, le champ obligatoire ""%s"" n'est pas défini"
"Skip import row, store ""%s"" field not exists","Ligne ignorée, le champ ""%s"" du magasin n'existe pas"
"Some of the products below don\'t have all the required options. Please remove them and add again with all the required options.","Certains des produits suivants n'ont pas toutes les options requises. Veuillez les supprimer puis les ajouter à nouveau avec les options nécessaires."
"Sort Order","Ordre de tri"
"Sort by","Trier par"
"Source Model","Modèle source"
"Special Price:","Prix promotionnel :"
"Starting at:","A partir de :"
"Static","Statique"
"Static block and products","Bloc statique et produits"
"Static block only","Bloc statique uniquement"
"Status","Statut"
"Stock Availability","Disponibilité en stock"
"Store","Magasin"
"Store View","Vue magasin"
"Stretch","Étirer"
"Subscribe to RSS Feed","S'abonner au flux RSS"
"Super product attributes configuration","Configuration des attributs du super produit"
"Synonym For","Synonyme de"
"Synonym for","Synonyme de"
"System Properties","Propriétés système"
"Tag Name","Nom du tag"
"Tax","TVA"
