"%s","%s"
"%s already exist","%s existe déjà"
"%s already exists","%s existent déjà"
"\-- Please Select --","\-- Votre choix --"
"Current package name","Nom du paquet actuel"
"Custom Design","Habillage personnalisé"
"Custom Variables","Variables Personnalisées"
"Custom admin URL","URL d'admin personnalisée"
"Custom email 1","Email personnalisé 1"
"Custom email 2","Email personnalisé 2"
"Customer support","Support client"
"Date From","Entre le"
"Date To","et le"
"Date/time format ""%s"" is not supported.","Le format de date/heure ""%s"" n'est pas supporté."
"Debug","Déboguage"
"Default","Défaut"
"Default Description","Description par défaut"
"Default Keywords","Mots-clés par défaut"
"Default Pages","Pages par défaut"
"Default Robots","Robots par défaut"
"Default Store","Magasin par défaut"
"Default Store View","Vue magasin par défaut"
"Default Title","Titre par défaut"
"Default country","Pays par défaut"
"Default no-route url","URL non trouvée par défaut"
"Default web url","URL web par défaut"
"Delete","Supprimer"
"Delete Store","Supprimer le magasin"
"Delete Store View","Effacer la vue magasin"
"Delete Website","Supprimer le site web"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Effacer un %1$s n'effacera pas les informations associées avec le %1$s (par ex. catégories, produits, etc.), mais il ne sera pas possible de restaurer le %1$s. Nous vous suggérons de créer une sauvegarde de la base de données avant d'effacer le %1$s."
"Design","Habillage"
"Design Change","Changement d'habillage"
"Developer","Développeur"
"Developer Client Restrictions","Restrictions client développeur"
"Disable email communications","Désactiver les communications mail"
"Disable modules output","Désactiver la sortie des modules"
"Display demo store notice","Afficher la notification Magasin de démo"
"Duplicate Of Template Name","Duplication du nom de gabarit"
"Edit Design Change","Éditer le changement d'habillage"
"Edit Store","Modifier le magasin"
"Edit Store View","Éditer la vue magasin"
"Edit Website","Modifier le site web"
"Empty identifier field name","Vider le nom du champ d'identifiant"
"Empty main table name","Nom de table principale vide"
"Enable Prototype Deprecation Log","Activer le log de dépréciation Prototype"
"Enabled","Activé"
"Enabled for Admin","Activée pour l'admin"
"Enabled for Frontend","Activée pour le frontend"
"Error in file: ""%s"" - %s","Erreur dans le fichier : ""%s"" - %s"
"Error while saving. Please try again later.","Erreur lors de la sauvegarde. Veuillez réessayer plus tard."
"Error: Passwords do not match","Erreur : les mots de passe sont différents"
"Exceptions Log File Name","Nom du fichier de log d'exceptions"
"First Day of Week","Premier jour de la semaine"
"Flush Cache Storage","Purger le stockage du cache"
"Flush Magento Cache","Purger le cache Magento"
"Footer","Pied de page"
"Forgot Password Email Sender","Expéditeur du mail d'oubli de mot de passe"
"Forgot Password Email Template","Gabarit du mail d'oubli de mot de passe"
"General","Général"
"General Settings","Paramètres généraux"
"General contact","Contact général"
"Global","Global"
"HTML Head","En-tête HTML"
"Header","En-tête"
"Host","Serveur"
"How many Links to display at once","Nombre de liens à afficher à la fois"
"Id path for specified store","Chemin identifiant pour le magasin spécifié"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","Si la trame actuelle ne couvre pas les pages extrêmes, créera un lien vers la position actuelle plus ou moins cette valeur"
"Incorrect credit card expiration date","Date d'expiration de carte incorrecte"
"Invalid base url type","Type d'URL de base invalide"
"Invalid block name to set child %s: %s","Nom de bloc non valide pour rattacher l'enfant %s : %s"
"Invalid block type: %s","Type de bloc non valide : %s"
"Invalid block: %s","Bloc non valide : %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Argument non valide pour la mise à jour d'agencement de page, Mage_Core_Model_Layout_Element attendu"
"Invalid layout update handle","Manipulation de mise à jour de l'agencement non valide"
"Invalid messages storage ""%s"" for layout messages initialization","Stockage des messages ""%s"" invalide pour l'initialisation des messages d'agencement"
"Invalid transactional email code: ","Code d'email transactionnel invalide : "
"Invalid websites configuration path: %s","Chemin de configuration des sites web non valide : %s"
"JavaScript Settings","Paramètres JavaScript"
"Layout","Agencement"
"Leave empty for access from any location","Laisser vide pour l'accès depuis n'importe quelle IP"
"Locale","Profil local"
"Locale options","Options de langues"
"Log Settings","Paramètres de log"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Log depuis Mage::log(). Le fichier se trouve dans {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Log depuis Mage::logException(). Le fichier se trouve dans {{base_dir}}/var/log"
"Login is Case Sensitive","L'identifiant utilisateur est sensible à la casse"
"Logo Image Alt","Texte alternatif du logo"
"Logo Image Src","Source du logo"
"Mail Sending Settings","Paramètres d'envoi des emails"
"Manage Stores","Gérer les magasins"
"Match expressions in the same order as displayed in the configuration.","Faire coïncider les expressions dans l'ordre d'affichage de la configuration."
"Maximum length exceeded.","Dépassement de la longueur maximum"
"Merge CSS Files (beta)","Fusionner les fichiers CSS (beta)"
"Merge JavaScript Files (beta)","Fusionner les fichiers JavaScript (beta)"
"Miscellaneous HTML","Code HTML divers"
"Miscellaneous scripts","Scripts divers"
"Model class does not exist: %s","La classe modèle n'existe pas : %s"
"Model collection resource name is not defined","Le nom de ressource de modèle collection n'est pas défini"
"Module ""%1$s"" can not be depended from ""%2$s""","Le module ""%1$s"" ne peut pas dépendre de ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Le module ""%1$s"" est dépendant du module ""%2$s"""
"Name","Nom"
"New Design Change","Nouveau changement d'habillage"
"New Store","Nouveau magasin"
"New Store View","Nouvelle vue magasin"
"New Website","Nouveau site web"
"No","Non"
"Package","Paquet"
"Pagination","Pagination"
"Pagination Frame","Trame de Pagination"
"Pagination Frame Skip","Passer la trame de Pagination"
"Please choose to register or to checkout as a guest","Choisissez de vous enregistrer ou de passer votre commande en tant qu'invité"
"Please define flag code.","Veuillez définir un code de drapeau."
"Please enter 6 or more characters.","Veuillez saisir au moins 6 caractères."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Veuillez saisir au moins 6 caractères. Les espaces en début ou en fin de chaîne seront ignorés."
"Please enter a number greater than 0 in this field.","Veuillez saisir un nombre supérieur à 0 dans ce champ."
"Please enter a valid $ amount. For example $100.00.","Veuillez saisir un montant valide. Par exemple 100.00 €."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Veuillez saisir une URL valide. Par exemple http://www.exemple.com ou www.exemple.com"
"Please enter a valid URL. http:// is required","Veuillez saisir une URL valide. Elle doit commencer par http://"
"Please enter a valid credit card number.","Veuillez saisir un numéro de carte bancaire valide."
"Please enter a valid credit card verification number.","Veuillez saisir un numéro de vérification de carte bancaire valide."
"Please enter a valid date.","Veuillez saisir une date valide."
"Please enter a valid email address. For example johndoe@domain.com.","Veuillez saisir une adresse email valide. Par exemple gerard.manvussat@domaine.com"
"Please enter a valid number in this field.","Veuillez saisir un nombre valide."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Veuillez saisir un numéro de téléphone valide."
"Please enter a valid social security number. For example 123-45-6789.","Veuillez saisir un numéro de sécurité sociale valide. Par exemple 123-45-6789."
"Please enter a valid zip code.","Veuillez saisir un code postal valide."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Veuillez saisir un code postal valide. Par exemple 92100."
"Please enter valid password.","Veuillez saisir un mot de passe valide."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%","Veuillez saisir une dimension CSS valide. Par exemple 100px ou 77pt ou 20em ou .5ex ou 50%"
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Assurez-vous que l'URL de base se termine par un '/' (slash), par ex. http://votredomaine/magento/"
"Please make sure your passwords match.","Vérifiez que vos mots de passe concordent."
"Please select State/Province.","Veuillez choisir un état/province."
"Please select an option.","Sélectionnez une option"
"Please select one of the above options.","Veuillez choisir une des options ci-dessus."
"Please select one of the options.","Veuillez choisir une des options."
"Please specify payment method.","Choisissez un mode de paiement."
"Please specify shipping method.","Choisissez un mode de livraison."
"Please use letters only (a-z or A-Z) in this field.","Veuillez utiliser uniquement des lettres (a-z ou A-Z) dans ce champ."
"Please use letters only (a-z) in this field.","Veuillez utiliser uniquement des lettres (a-z) dans ce champ."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Seuls les chiffres sont autorisés dans ce champ. Évitez les espaces ou autres caractères tels que les points ou les virgules."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Veuillez utiliser uniquement des lettres (a-z), des chiffres (0-9) ou underscore (_) dans ce champ, en commençant par une lettre."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Veuillez utiliser uniquement des lettres (a-z) ou des chiffres (0-9) dans ce champ. Les espaces et autres caractères ne sont pas autorisés."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Veuillez utiliser uniquement des lettres (a-z), des chiffres (0-9), des espaces ou des dièses (#) dans ce champ."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Veuillez utiliser uniquement des lettres (a-z), des chiffres (0-9) ou underscore (_) dans ce champ, en commençant par une lettre."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Veuillez utiliser ce format de date : jj/mm/aaaa. Par exemple, 21/12/2012 pour le 21 Décembre 2012."
"Please wait, loading...","Veuillez patienter, chargement en cours..."
"Polls","Sondages"
"Port (25)","Port (25)"
"Profiler","Profileur"
"Redirect to Base URL if requested URL doesn't match it","Rediriger vers l'URL de base si l'URL demandée est différente"
"Request path for specified store","Chemin de requête pour le magasin spécifié"
"Requested invalid store ""%s""","Le magasin demandé ""%s"" n'est pas valide"
"Resource is not set","La ressource n'est pas configurée"
"Return-Path Email","Adresse email de réponse"
"Root Category","Catégorie racine"
"Sales representative","Représentant des ventes"
"Save","Sauvegarder"
"Save Store","Sauvegarder le magasin"
"Save Store View","Sauvegarder la vue magasin"
"Save Website","Sauvegarder le site web"
"Search Engines Optimization","Optimisation pour les moteurs de recherche"
"Secure","Sécurisé"
"Security","Sécurité"
"Select Date","Sélectionner une date"
"Sender email","Mail de l'expéditeur"
"Sender name","Nom de l'expéditeur"
"Services","Services"
"Session Cookie management","Gestion des cookies de session"
"Session Lifetime (seconds)","Durée des sessions (secondes)"
"Session Validation Settings","Paramètres de validation de session"
"Set Return-Path","Renseigner le chemin de retour"
"Set as default","Valeur par défaut"
"Skin (Images / CSS)","Habillage (Images / CSS)"
"Sort order","Ordre de tri"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","La date/heure spécifiée ""%1$s"" ne correspond pas au format ""%2$s"""
"Specify either category or product, or both.","Spécifiez la catégorie, le produit ou les deux."
"Start date can\'t be greater than end date","La date de début ne peut pas être postérieure à la date de fin."
"Startup page","Page de démarrage"
"Status","Statut"
"Store","Magasin"
"Store Contact Address","Adresse de Contact du magasin"
"Store Contact Information","Informations de Contact du magasin"
"Store Contact Telephone","Téléphone de Contact du magasin"
"Store Email Addresses","Adresses email du magasin"
"Store Information","Informations magasin"
"Store Name","Nom du magasin"
"Store View","Vue magasin"
"Store View Information","Information de vue magasin"
"Store View Name","Nom de vue magasin"
"Store View was successfully saved","La vue magasin a été sauvegardée avec succès !"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Le code de magasin ne doit contenir que des lettres (a-z), des chiffres (0-9) ou des underscores (_), et le premier caractère doit être une lettre"
"Store doesn't exist","Le magasin n'existe pas"
"Store view doesn't exist","La vue magasin n'existe pas"
"Store view was successfully deleted.","La vue magasin a bien été effacée."
"Store was successfully deleted.","Le magasin a bien été supprimé."
"Store was successfully saved","Le magasin a bien été sauvegardé"
"Store with the same code","Magasin avec le même code"
"System","Système"
"System Log File Name","Nom de fichier de logs système"
"Template Name must be not empty","Le nom de gabarit ne peut être vide"
"Template Path Hints","Astuce chemin des gabarits"
"Template Variables","Variables de gabarit"
"Templates","Gabarits"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Le %s que vous avez saisi n'est pas valide. Veuillez vérifier qu'il respecte le format ""http://domaine.com/""."
"Themes","Thèmes"
"This category and all its child elements","Cette catégorie et tous ses descendants"
"This category and its child categories only","Cette catégorie et toutes ses sous-catégories"
"This category and its products only","Cette catégorie et ses produits seulement"
"This category only","Cette catégorie seulement"
"This is a required field.","Ce champ est obligatoire."
"This store cannot be deleted","Ce magasin ne peut pas être effacé"
"This store cannot be deleted.","Ce magasin ne peut pas être effacé."
"This store view cannot be deleted","Cette vue magasin ne peut pas être effacée"
"This store view cannot be deleted.","Cette vue magasin ne peut pas être effacée."
"This website cannot be deleted","Ce site web ne peut pas être effacé"
"This website cannot be deleted.","Ce site web ne peut pas être effacé."
"This will be displayed just before body closing tag","Ceci sera affiché juste avant la balise de fermeture de body"
"This will be included before head closing tag in page HTML","Ceci sera inclus avant la fermeture du tag head dans la page HTML"
"Timezone","Fuseau horaire"
"Title Prefix","Préfixe du titre"
"Title Suffix","Suffixe du titre"
"Translate Inline","Traduire en ligne"
"Translate cache should be disabled for both Frontend and Admin inline translations","Le cache des traductions doit être désactivé pour les traductions en ligne"
"Translations","Traductions"
"Unable to delete store view. Please, try again later.","Impossible de supprimer la vue magasin. Veuillez réessayer ultérieurement."
"Unable to delete store. Please, try again later.","Impossible de supprimer le magasin. Veuillez réessayer ultérieurement."
"Unable to delete website. Please, try again later.","Impossible de supprimer le site web. Veuillez réessayer ultérieurement."
"Unable to proceed. Please, try again","Impossible de continuer. Veuillez réessayer ultérieurement."
"Unknown scope ""%s""","Portée ""%s"" inconnue"
"Unsecure","Non sécurisé"
"Url Options","Options d'URL"
"Use HTTP Only","Utiliser uniquement HTTP"
"Use SID on Frontend","Utiliser SID pour l'accès public"
"Use Secure URLs in Admin","Utiliser des URLs sécurisées dans l'administration"
"Use Secure URLs in Frontend","Utiliser des URLs sécurisées pour l'accès public"
"Use Web Server Rewrites","Utiliser les réécritures du serveur web"
"Use custom admin URL","Utiliser une URL d'admin personnalisée"
"Validate HTTP_USER_AGENT","Valider HTTP_USER_AGENT"
"Validate HTTP_VIA","Valider HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Valider HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Valider REMOTE_ADDR"
"Validation failed.","Echec de la validation."
"Values less than 60 are ignored. Please note, that changes will apply after logout.","Les valeurs inférieures à 60 sont ignorées. Veuillez noter que les changements seront appliqués après déconnexion."
"Variable Code must be unique.","Le code de variable doit être unique"
"Web","Web"
"Website","Site web"
"Website Information","Informations site web"
"Website Name","Nom du site web"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Le site web ne doit contenir que des lettres (a-z), des chiffres (0-9) ou des underscores (_), et le premier caractère doit être une lettre"
"Website doesn't exist","Le site web n'existe pas"
"Website was successfully deleted.","[!]Le site web a bien été supprimé"
"Website was successfully saved","Le site web a été sauvegardé avec succès !"
"Website with the same code","Site web avec le même code"
"Weekend Days","Jours de weekend"
"Welcome Text","Texte de bienvenue"
"Wrong number of arguments for %s","Nombre d'arguments erroné pour %s"
"Yes","Oui"
"Your design change for the specified store intersects with another one, please specify another date range","Votre changement d'habillage pour le magasin choisi est en conflit avec un autre. Veuillez indiquer une autre période"
"Your order can not be completed at this time as there is no payment methods available for it.","Impossible de terminer votre commande pour le moment, il n'y a pas de mode de paiement disponible."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Impossible de terminer votre commande pour le moment, il n'y a pas de mode de livraison disponible pour cette destination. Vous pouvez modifier l'adresse de livraison pour continuer."
"Your session has been expired, you will be relogged in now.","Votre session a expiré, veuillez vous connecter à nouveau."
"- Use the %s, %s buttons to select year","- Utilisez les boutons %s, %s pour choisir l'année"
"- Use the %s buttons to select month","- Utilisez les boutons %s pour choisir le mois"
"- Hold mouse button on any of the above buttons for faster selection.","- Maintenir le bouton de souris enfoncé pour une sélection plus rapide (sur tout les boutons ci-dessus)."
"- Click on any of the time parts to increase it","- Cliquez sur une partie de l'heure pour l'incrémenter."
"- or Shift-click to decrease it","- ou Shift-clic pour la décrémenter"
"- or click and drag for faster selection.","- ou cliquer et déplacer pour une sélection plus rapide"
"Experimental. Turn this feature off if there are troubles with relative urls inside css-files.","Expérimental. Arrêtez cette fonctionnalité s'il y a des problèmes d'adresses URLs relatives dans les fichiers CSS."
